user_id,book_id,rating,interaction_type,review_text,timestamp
123,1123,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-02
310,896,,view,,2026-01-02
360,638,,view,,2026-01-02
391,750,3.0,rate,It was an okay read. Met expectations.,2026-01-02
99,889,,view,,2026-01-02
6,1076,3.0,rate,It was an okay read. Met expectations.,2026-01-02
340,820,4.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-02
257,536,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-02
392,579,2.0,rate,Hard to get through. Not recommended.,2026-01-02
338,1098,,view,,2026-01-02
121,117,3.0,rate,It was an okay read. Met expectations.,2026-01-02
234,384,,shelve,,2026-01-02
42,242,1.0,rate,Decent idea but poorly written.,2026-01-02
192,695,5.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-02
207,76,4.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-02
123,87,,view,,2026-01-02
6,1117,,view,,2026-01-02
97,73,2.0,rate,Hard to get through. Not recommended.,2026-01-02
97,1057,3.0,rate,It was an okay read. Met expectations.,2026-01-02
230,342,3.0,rate,It was an okay read. Met expectations.,2026-01-02
312,126,,view,,2026-01-02
203,294,4.0,rate,Beautifully written and highly engaging.,2026-01-02
324,1027,4.0,rate,"A wonderful read, really connected with the story.",2026-01-02
234,921,3.0,rate,It was an okay read. Met expectations.,2026-01-02
93,185,,shelve,,2026-01-02
357,713,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-02
214,935,3.0,rate,It was an okay read. Met expectations.,2026-01-02
388,431,3.0,rate,It was an okay read. Met expectations.,2026-01-02
187,707,3.0,rate,It was an okay read. Met expectations.,2026-01-02
186,746,3.0,rate,It was an okay read. Met expectations.,2026-01-02
217,486,1.0,rate,"Disappointing, execution fell short of the premise.",2026-01-02
389,139,,view,,2026-01-02
111,935,3.0,rate,It was an okay read. Met expectations.,2026-01-02
227,235,4.0,rate,"A wonderful read, really connected with the story.",2026-01-02
183,1144,3.0,rate,It was an okay read. Met expectations.,2026-01-02
63,860,,view,,2026-01-02
109,291,4.0,rate,Could not put it down! A fantastic book.,2026-01-02
245,366,4.0,rate,Could not put it down! A fantastic book.,2026-01-02
108,150,4.0,rate,Could not put it down! A fantastic book.,2026-01-02
186,753,,shelve,,2026-01-02
174,824,,shelve,,2026-01-02
108,590,3.0,rate,It was an okay read. Met expectations.,2026-01-02
90,750,3.0,rate,It was an okay read. Met expectations.,2026-01-02
394,139,,view,,2026-01-02
261,737,2.0,rate,Decent idea but poorly written.,2026-01-02
321,916,,shelve,,2026-01-02
321,387,4.0,rate,Could not put it down! A fantastic book.,2026-01-02
51,706,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-02
47,1131,3.0,rate,It was an okay read. Met expectations.,2026-01-02
358,138,4.0,rate,Could not put it down! A fantastic book.,2026-01-02
356,808,,view,,2026-01-02
118,370,4.0,rate,Could not put it down! A fantastic book.,2026-01-02
233,797,4.0,rate,Could not put it down! A fantastic book.,2026-01-02
258,817,,shelve,,2026-01-02
329,545,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-02
96,1082,,view,,2026-01-02
7,258,3.0,rate,It was an okay read. Met expectations.,2026-01-02
259,650,3.0,rate,It was an okay read. Met expectations.,2026-01-02
313,555,,shelve,,2026-01-02
277,359,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-02
95,829,3.0,rate,It was an okay read. Met expectations.,2026-01-02
185,1024,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-02
20,705,,view,,2026-01-02
189,400,3.0,rate,It was an okay read. Met expectations.,2026-01-02
46,592,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-02
14,673,,shelve,,2026-01-02
363,702,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-02
268,365,3.0,rate,It was an okay read. Met expectations.,2026-01-02
268,860,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-02
168,681,3.0,rate,It was an okay read. Met expectations.,2026-01-02
60,619,3.0,rate,It was an okay read. Met expectations.,2026-01-02
229,826,4.0,rate,Could not put it down! A fantastic book.,2026-01-02
269,452,3.0,rate,It was an okay read. Met expectations.,2026-01-02
88,986,3.0,rate,It was an okay read. Met expectations.,2026-01-02
205,1162,,shelve,,2026-01-02
114,971,,shelve,,2026-01-02
212,1007,3.0,rate,It was an okay read. Met expectations.,2026-01-02
209,198,3.0,rate,It was an okay read. Met expectations.,2026-01-02
6,520,3.0,rate,It was an okay read. Met expectations.,2026-01-02
154,997,5.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-02
201,461,,view,,2026-01-02
128,1110,3.0,rate,It was an okay read. Met expectations.,2026-01-02
219,905,3.0,rate,It was an okay read. Met expectations.,2026-01-02
296,213,3.0,rate,It was an okay read. Met expectations.,2026-01-02
196,918,,view,,2026-01-02
351,1054,5.0,rate,Could not put it down! A fantastic book.,2026-01-02
341,1008,,shelve,,2026-01-02
35,1059,2.0,rate,Very basic characters and predictable plot.,2026-01-02
149,1084,3.0,rate,It was an okay read. Met expectations.,2026-01-02
224,1101,3.0,rate,It was an okay read. Met expectations.,2026-01-02
152,805,4.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-02
209,357,3.0,rate,It was an okay read. Met expectations.,2026-01-02
348,326,4.0,rate,"A wonderful read, really connected with the story.",2026-01-02
193,420,3.0,rate,It was an okay read. Met expectations.,2026-01-02
4,799,3.0,rate,It was an okay read. Met expectations.,2026-01-02
384,69,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-02
200,719,3.0,rate,It was an okay read. Met expectations.,2026-01-02
32,87,3.0,rate,It was an okay read. Met expectations.,2026-01-02
67,265,3.0,rate,It was an okay read. Met expectations.,2026-01-02
133,336,3.0,rate,It was an okay read. Met expectations.,2026-01-02
253,1187,4.0,rate,Beautifully written and highly engaging.,2026-01-02
211,792,,view,,2026-01-02
373,773,3.0,rate,It was an okay read. Met expectations.,2026-01-02
75,411,3.0,rate,It was an okay read. Met expectations.,2026-01-02
290,1137,,view,,2026-01-02
304,356,4.0,rate,Beautifully written and highly engaging.,2026-01-02
399,1109,5.0,rate,"A wonderful read, really connected with the story.",2026-01-02
140,1092,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-02
285,633,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-02
297,852,3.0,rate,It was an okay read. Met expectations.,2026-01-02
136,539,,view,,2026-01-02
207,390,3.0,rate,It was an okay read. Met expectations.,2026-01-02
400,106,4.0,rate,Could not put it down! A fantastic book.,2026-01-02
29,917,4.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-02
5,1001,,view,,2026-01-02
152,901,5.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-02
397,1084,4.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-02
142,910,4.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-02
132,428,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-02
211,177,,shelve,,2026-01-02
379,1149,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-02
208,369,3.0,rate,It was an okay read. Met expectations.,2026-01-02
161,1083,,view,,2026-01-02
3,1095,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-02
126,286,3.0,rate,It was an okay read. Met expectations.,2026-01-02
144,738,3.0,rate,It was an okay read. Met expectations.,2026-01-02
201,605,3.0,rate,It was an okay read. Met expectations.,2026-01-02
307,703,,view,,2026-01-02
299,432,3.0,rate,It was an okay read. Met expectations.,2026-01-02
193,863,3.0,rate,It was an okay read. Met expectations.,2026-01-02
81,235,3.0,rate,It was an okay read. Met expectations.,2026-01-02
144,1042,3.0,rate,It was an okay read. Met expectations.,2026-01-02
65,539,,view,,2026-01-02
142,1094,3.0,rate,It was an okay read. Met expectations.,2026-01-02
382,913,,view,,2026-01-02
224,1162,2.0,rate,Decent idea but poorly written.,2026-01-02
293,266,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-02
137,710,5.0,rate,An absolute masterpiece! Loved every page.,2026-01-02
37,92,3.0,rate,It was an okay read. Met expectations.,2026-01-02
15,1145,,shelve,,2026-01-03
198,776,3.0,rate,It was an okay read. Met expectations.,2026-01-03
59,1160,3.0,rate,It was an okay read. Met expectations.,2026-01-03
110,718,,view,,2026-01-03
196,518,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-03
238,195,4.0,rate,Beautifully written and highly engaging.,2026-01-03
28,952,4.0,rate,Beautifully written and highly engaging.,2026-01-03
260,695,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-03
225,298,,view,,2026-01-03
363,575,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-03
351,247,,view,,2026-01-03
272,845,3.0,rate,It was an okay read. Met expectations.,2026-01-03
209,389,,view,,2026-01-03
246,1086,3.0,rate,It was an okay read. Met expectations.,2026-01-03
34,389,5.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-03
287,610,2.0,rate,Decent idea but poorly written.,2026-01-03
287,494,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-03
185,346,2.0,rate,Very basic characters and predictable plot.,2026-01-03
232,948,3.0,rate,It was an okay read. Met expectations.,2026-01-03
344,370,,view,,2026-01-03
252,863,3.0,rate,It was an okay read. Met expectations.,2026-01-03
49,207,3.0,rate,It was an okay read. Met expectations.,2026-01-03
333,636,5.0,rate,An absolute masterpiece! Loved every page.,2026-01-03
58,1057,3.0,rate,It was an okay read. Met expectations.,2026-01-03
320,262,3.0,rate,It was an okay read. Met expectations.,2026-01-03
136,82,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-03
244,183,3.0,rate,It was an okay read. Met expectations.,2026-01-03
77,1168,3.0,rate,It was an okay read. Met expectations.,2026-01-03
110,569,3.0,rate,It was an okay read. Met expectations.,2026-01-03
365,326,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-03
394,825,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-03
245,1121,3.0,rate,It was an okay read. Met expectations.,2026-01-03
110,608,,view,,2026-01-03
345,689,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-03
370,1184,3.0,rate,It was an okay read. Met expectations.,2026-01-03
34,494,4.0,rate,Could not put it down! A fantastic book.,2026-01-03
68,689,3.0,rate,It was an okay read. Met expectations.,2026-01-03
324,710,,shelve,,2026-01-03
392,835,3.0,rate,It was an okay read. Met expectations.,2026-01-03
69,470,3.0,rate,It was an okay read. Met expectations.,2026-01-03
219,1073,,view,,2026-01-03
52,395,2.0,rate,Decent idea but poorly written.,2026-01-03
147,1159,3.0,rate,It was an okay read. Met expectations.,2026-01-03
52,362,4.0,rate,"A wonderful read, really connected with the story.",2026-01-03
362,919,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-03
292,592,3.0,rate,It was an okay read. Met expectations.,2026-01-03
13,58,5.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-03
235,10,,view,,2026-01-03
70,653,4.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-03
228,617,,view,,2026-01-03
216,1059,3.0,rate,It was an okay read. Met expectations.,2026-01-03
31,747,3.0,rate,It was an okay read. Met expectations.,2026-01-03
228,1034,5.0,rate,An absolute masterpiece! Loved every page.,2026-01-03
144,613,3.0,rate,It was an okay read. Met expectations.,2026-01-03
400,725,2.0,rate,Very basic characters and predictable plot.,2026-01-03
361,717,,view,,2026-01-03
54,1019,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-03
99,386,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-03
99,73,,view,,2026-01-03
145,363,,view,,2026-01-03
249,465,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-03
50,137,,view,,2026-01-03
11,268,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-03
52,232,,view,,2026-01-03
92,1123,3.0,rate,It was an okay read. Met expectations.,2026-01-03
204,1119,4.0,rate,"A wonderful read, really connected with the story.",2026-01-03
105,99,,view,,2026-01-03
214,524,3.0,rate,It was an okay read. Met expectations.,2026-01-03
93,641,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-03
10,75,3.0,rate,It was an okay read. Met expectations.,2026-01-03
93,118,4.0,rate,"A wonderful read, really connected with the story.",2026-01-03
105,338,3.0,rate,It was an okay read. Met expectations.,2026-01-03
11,1119,,view,,2026-01-03
104,530,4.0,rate,Beautifully written and highly engaging.,2026-01-03
358,559,3.0,rate,It was an okay read. Met expectations.,2026-01-03
263,35,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-03
323,78,,view,,2026-01-03
330,1143,3.0,rate,It was an okay read. Met expectations.,2026-01-03
141,852,3.0,rate,It was an okay read. Met expectations.,2026-01-03
73,79,,view,,2026-01-03
68,1189,4.0,rate,"A wonderful read, really connected with the story.",2026-01-03
243,277,2.0,rate,Hard to get through. Not recommended.,2026-01-03
290,982,3.0,rate,It was an okay read. Met expectations.,2026-01-03
177,1181,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-03
291,486,3.0,rate,It was an okay read. Met expectations.,2026-01-03
33,1179,3.0,rate,It was an okay read. Met expectations.,2026-01-03
203,1027,4.0,rate,Could not put it down! A fantastic book.,2026-01-03
32,518,,shelve,,2026-01-03
201,657,,view,,2026-01-03
175,21,,view,,2026-01-03
36,398,,view,,2026-01-03
273,1136,4.0,rate,Could not put it down! A fantastic book.,2026-01-03
338,253,,view,,2026-01-03
127,413,3.0,rate,It was an okay read. Met expectations.,2026-01-03
127,672,,view,,2026-01-03
284,731,5.0,rate,"A wonderful read, really connected with the story.",2026-01-03
310,405,4.0,rate,Could not put it down! A fantastic book.,2026-01-03
341,346,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-03
342,375,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-03
305,716,,shelve,,2026-01-03
165,720,4.0,rate,Could not put it down! A fantastic book.,2026-01-03
129,251,2.0,rate,Decent idea but poorly written.,2026-01-03
241,829,,view,,2026-01-03
20,974,,view,,2026-01-03
305,53,3.0,rate,It was an okay read. Met expectations.,2026-01-03
194,826,3.0,rate,It was an okay read. Met expectations.,2026-01-03
304,138,,shelve,,2026-01-03
194,643,,view,,2026-01-03
45,652,3.0,rate,It was an okay read. Met expectations.,2026-01-03
232,21,,view,,2026-01-03
195,739,3.0,rate,It was an okay read. Met expectations.,2026-01-03
343,1200,2.0,rate,Hard to get through. Not recommended.,2026-01-03
195,139,,view,,2026-01-03
116,1119,,view,,2026-01-03
278,636,3.0,rate,It was an okay read. Met expectations.,2026-01-03
42,194,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-03
212,631,4.0,rate,"A wonderful read, really connected with the story.",2026-01-03
122,834,3.0,rate,It was an okay read. Met expectations.,2026-01-03
81,159,3.0,rate,It was an okay read. Met expectations.,2026-01-03
281,993,,view,,2026-01-03
192,746,,shelve,,2026-01-03
62,445,2.0,rate,Very basic characters and predictable plot.,2026-01-03
124,1150,3.0,rate,It was an okay read. Met expectations.,2026-01-03
123,71,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-03
384,953,4.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-03
5,34,3.0,rate,It was an okay read. Met expectations.,2026-01-03
6,547,,view,,2026-01-03
5,1115,,shelve,,2026-01-03
81,1020,4.0,rate,"A wonderful read, really connected with the story.",2026-01-03
81,74,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-03
160,61,5.0,rate,Could not put it down! A fantastic book.,2026-01-03
161,587,,shelve,,2026-01-03
80,636,3.0,rate,It was an okay read. Met expectations.,2026-01-03
80,550,4.0,rate,Beautifully written and highly engaging.,2026-01-03
385,686,,shelve,,2026-01-03
162,971,3.0,rate,It was an okay read. Met expectations.,2026-01-03
240,1069,4.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-03
309,751,,view,,2026-01-03
218,393,3.0,rate,It was an okay read. Met expectations.,2026-01-03
160,283,3.0,rate,It was an okay read. Met expectations.,2026-01-03
122,601,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-03
167,286,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-03
247,32,,shelve,,2026-01-03
119,60,3.0,rate,It was an okay read. Met expectations.,2026-01-03
98,128,3.0,rate,It was an okay read. Met expectations.,2026-01-03
287,990,,view,,2026-01-03
366,805,3.0,rate,It was an okay read. Met expectations.,2026-01-03
343,914,3.0,rate,It was an okay read. Met expectations.,2026-01-03
64,991,2.0,rate,Very basic characters and predictable plot.,2026-01-03
133,388,3.0,rate,It was an okay read. Met expectations.,2026-01-03
18,546,3.0,rate,It was an okay read. Met expectations.,2026-01-03
242,665,3.0,rate,It was an okay read. Met expectations.,2026-01-03
300,1006,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-03
387,233,,shelve,,2026-01-03
344,1053,,view,,2026-01-03
365,621,4.0,rate,Beautifully written and highly engaging.,2026-01-03
213,1160,3.0,rate,It was an okay read. Met expectations.,2026-01-03
317,464,3.0,rate,It was an okay read. Met expectations.,2026-01-03
17,841,,view,,2026-01-03
187,201,3.0,rate,It was an okay read. Met expectations.,2026-01-03
77,449,4.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-03
170,961,3.0,rate,It was an okay read. Met expectations.,2026-01-03
373,490,4.0,rate,Beautifully written and highly engaging.,2026-01-03
203,468,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-03
275,68,,view,,2026-01-03
374,8,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-03
32,251,4.0,rate,Could not put it down! A fantastic book.,2026-01-04
123,345,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-04
282,247,3.0,rate,It was an okay read. Met expectations.,2026-01-04
325,247,3.0,rate,It was an okay read. Met expectations.,2026-01-04
29,1117,3.0,rate,It was an okay read. Met expectations.,2026-01-04
230,324,3.0,rate,It was an okay read. Met expectations.,2026-01-04
123,955,3.0,rate,It was an okay read. Met expectations.,2026-01-04
14,114,,view,,2026-01-04
148,489,4.0,rate,"A wonderful read, really connected with the story.",2026-01-04
177,799,,view,,2026-01-04
323,284,,view,,2026-01-04
123,330,,view,,2026-01-04
136,629,3.0,rate,It was an okay read. Met expectations.,2026-01-04
